problem,number_of_steps,number_of_actions,number_of_agents,failed_actions_cardinality,clauses_num,variables_num,number_of_solutions,solution_index,solution_cardinality,sat_solving_mils
"deports11","50","56","7","1","27589","12612","1","0","1","239"
"deports11","50","56","7","1","27589","12612","1","0","1","94"
"deports11","50","56","7","1","27589","12612","1","0","1","82"
"deports11","50","56","7","1","27589","12612","1","0","1","77"
"deports11","50","56","7","1","27589","12612","1","0","1","75"
"deports11","50","56","7","1","27589","12612","1","0","1","70"
"deports11","50","56","7","1","27589","12612","2","0","1","111"
"deports11","50","56","7","1","27589","12612","1","0","1","63"
"deports11","50","56","7","1","27589","12612","1","0","1","85"
"deports11","50","56","7","1","27589","12612","1","0","1","85"
"deports11","50","56","7","1","27589","12612","1","0","1","67"
"deports11","50","56","7","1","27589","12612","2","1","1","132"
"deports11","50","56","7","1","27589","12612","1","0","1","73"
"deports11","50","56","7","1","27589","12612","1","0","1","68"
"deports11","50","56","7","1","27589","12612","1","0","1","70"
"deports11","50","56","7","1","27589","12612","1","0","1","60"
"deports11","50","56","7","1","27589","12612","1","0","1","60"
"deports11","50","56","7","1","27589","12612","1","0","1","72"
"deports11","50","56","7","1","27589","12612","1","0","1","76"
"deports11","50","56","7","1","27589","12612","1","0","1","65"
"deports19","36","44","7","1","19035","8753","1","0","1","57"
"deports19","36","44","7","1","19035","8753","1","0","1","42"
"deports19","36","44","7","1","19035","8753","1","0","1","48"
"deports19","36","44","7","1","19035","8753","1","0","1","49"
"deports19","36","44","7","1","19035","8753","1","0","1","52"
"deports19","36","44","7","1","19035","8753","1","0","1","59"
"deports19","36","44","7","1","19035","8753","1","0","1","39"
"deports19","36","44","7","1","19035","8753","1","0","1","51"
"deports19","36","44","7","1","19035","8753","2","1","1","100"
"deports19","36","44","7","1","19035","8753","1","0","1","47"
"deports19","36","44","7","1","19035","8753","1","0","1","63"
"deports19","36","44","7","1","19035","8753","1","0","1","52"
"deports19","36","44","7","1","19035","8753","1","0","1","58"
"deports19","36","44","7","1","19035","8753","1","0","1","45"
"deports19","36","44","7","1","19035","8753","1","0","1","68"
"deports19","36","44","7","1","19035","8753","1","0","1","52"
"deports19","36","44","7","1","19035","8753","1","0","1","48"
"deports19","36","44","7","1","19035","8753","1","0","1","50"
"deports19","36","44","7","1","19035","8753","1","0","1","49"
"deports19","36","44","7","1","19035","8753","1","0","1","64"
"elevator23","9","24","4","1","2932","802","1","0","1","9"
"elevator23","9","24","4","1","2932","802","2","0","1","11"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","2","1","1","9"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","2","0","1","10"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","1","0","1","9"
"elevator23","9","24","4","1","2932","802","2","1","1","14"
"elevator23","9","24","4","1","2932","802","1","0","1","9"
"elevator23","9","24","4","1","2932","802","1","0","1","7"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","1","0","1","5"
"elevator23","9","24","4","1","2932","802","2","0","1","12"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","1","0","1","5"
"elevator23","9","24","4","1","2932","802","1","0","1","7"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","9"
"elevator24","11","26","4","1","3641","1074","2","0","1","12"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","2","1","1","12"
"elevator24","11","26","4","1","3641","1074","1","0","1","9"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","7"
"elevator24","11","26","4","1","3641","1074","1","0","1","9"
"elevator24","11","26","4","1","3641","1074","1","0","1","9"
"elevator24","11","26","4","1","3641","1074","1","0","1","7"
"elevator24","11","26","4","1","3641","1074","2","0","1","12"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","9"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","11"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","2","0","1","20"
"elevator30","12","37","5","1","5268","1502","1","0","1","14"
"elevator30","12","37","5","1","5268","1502","1","0","1","11"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","12"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","12"
"elevator30","12","37","5","1","5268","1502","1","0","1","14"
"elevator30","12","37","5","1","5268","1502","2","1","1","19"
"elevator30","12","37","5","1","5268","1502","2","1","1","20"
"elevator30","12","37","5","1","5268","1502","1","0","1","11"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","11"
"elevator30","12","37","5","1","5268","1502","1","0","1","13"
"deports11","50","56","7","2","27589","12612","1","0","2","131"
"deports11","50","56","7","2","27589","12612","1","0","2","122"
"deports11","50","56","7","2","27589","12612","1","0","2","133"
"deports11","50","56","7","2","27589","12612","1","0","2","124"
"deports11","50","56","7","2","27589","12612","1","0","2","143"
"deports11","50","56","7","2","27589","12612","2","0","2","190"
"deports11","50","56","7","2","27589","12612","1","0","2","129"
"deports11","50","56","7","2","27589","12612","1","0","2","129"
"deports11","50","56","7","2","27589","12612","1","0","2","140"
"deports11","50","56","7","2","27589","12612","2","1","2","228"
"deports11","50","56","7","2","27589","12612","1","0","2","137"
"deports11","50","56","7","2","27589","12612","2","0","2","188"
"deports11","50","56","7","2","27589","12612","1","0","2","136"
"deports11","50","56","7","2","27589","12612","1","0","2","126"
"deports11","50","56","7","2","27589","12612","1","0","2","145"
"deports11","50","56","7","2","27589","12612","1","0","2","124"
"deports11","50","56","7","2","27589","12612","1","0","2","124"
"deports11","50","56","7","2","27589","12612","1","0","2","141"
"deports11","50","56","7","2","27589","12612","2","1","2","206"
"deports11","50","56","7","2","27589","12612","1","0","2","150"
"deports19","36","44","7","2","19035","8753","1","0","2","106"
"deports19","36","44","7","2","19035","8753","1","0","2","91"
"deports19","36","44","7","2","19035","8753","1","0","2","97"
"deports19","36","44","7","2","19035","8753","1","0","2","99"
"deports19","36","44","7","2","19035","8753","1","0","2","85"
"deports19","36","44","7","2","19035","8753","1","0","2","78"
"deports19","36","44","7","2","19035","8753","1","0","2","93"
"deports19","36","44","7","2","19035","8753","1","0","2","104"
"deports19","36","44","7","2","19035","8753","1","0","2","95"
"deports19","36","44","7","2","19035","8753","1","0","2","107"
"deports19","36","44","7","2","19035","8753","1","0","2","97"
"deports19","36","44","7","2","19035","8753","1","0","2","100"
"deports19","36","44","7","2","19035","8753","1","0","2","104"
"deports19","36","44","7","2","19035","8753","1","0","2","102"
"deports19","36","44","7","2","19035","8753","1","0","2","83"
"deports19","36","44","7","2","19035","8753","1","0","2","93"
"deports19","36","44","7","2","19035","8753","1","0","2","91"
"deports19","36","44","7","2","19035","8753","1","0","2","94"
"deports19","36","44","7","2","19035","8753","1","0","2","103"
"deports19","36","44","7","2","19035","8753","1","0","2","103"
"elevator23","9","24","4","2","2932","802","1","0","2","12"
"elevator23","9","24","4","2","2932","802","2","0","2","17"
"elevator23","9","24","4","2","2932","802","1","0","2","13"
"elevator23","9","24","4","2","2932","802","2","0","2","18"
"elevator23","9","24","4","2","2932","802","1","0","2","11"
"elevator23","9","24","4","2","2932","802","2","1","2","18"
"elevator23","9","24","4","2","2932","802","2","1","2","17"
"elevator23","9","24","4","2","2932","802","1","0","2","12"
"elevator23","9","24","4","2","2932","802","2","0","2","24"
"elevator23","9","24","4","2","2932","802","1","0","2","11"
"elevator23","9","24","4","2","2932","802","2","1","2","16"
"elevator23","9","24","4","2","2932","802","2","1","2","16"
"elevator23","9","24","4","2","2932","802","2","0","2","17"
"elevator23","9","24","4","2","2932","802","2","0","2","18"
"elevator23","9","24","4","2","2932","802","1","0","2","11"
"elevator23","9","24","4","2","2932","802","2","0","2","17"
"elevator23","9","24","4","2","2932","802","1","0","2","13"
"elevator23","9","24","4","2","2932","802","1","0","2","11"
"elevator23","9","24","4","2","2932","802","2","1","2","17"
"elevator23","9","24","4","2","2932","802","1","0","2","11"
"elevator24","11","26","4","2","3641","1074","1","0","2","15"
"elevator24","11","26","4","2","3641","1074","1","0","2","15"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
"elevator24","11","26","4","2","3641","1074","1","0","2","13"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
"elevator24","11","26","4","2","3641","1074","1","0","2","13"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
"elevator24","11","26","4","2","3641","1074","1","0","2","13"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
"elevator24","11","26","4","2","3641","1074","1","0","2","16"
"elevator24","11","26","4","2","3641","1074","2","1","2","21"
"elevator24","11","26","4","2","3641","1074","2","0","2","23"
"elevator24","11","26","4","2","3641","1074","2","1","2","20"
"elevator24","11","26","4","2","3641","1074","2","0","2","20"
"elevator24","11","26","4","2","3641","1074","1","0","2","16"
"elevator24","11","26","4","2","3641","1074","1","0","2","13"
"elevator24","11","26","4","2","3641","1074","1","0","2","15"
"elevator30","12","37","5","2","5268","1502","1","0","2","26"
"elevator30","12","37","5","2","5268","1502","1","0","2","26"
"elevator30","12","37","5","2","5268","1502","1","0","2","25"
"elevator30","12","37","5","2","5268","1502","1","0","2","27"
"elevator30","12","37","5","2","5268","1502","1","0","2","25"
"elevator30","12","37","5","2","5268","1502","2","0","2","42"
"elevator30","12","37","5","2","5268","1502","2","1","2","39"
"elevator30","12","37","5","2","5268","1502","1","0","2","25"
"elevator30","12","37","5","2","5268","1502","1","0","2","22"
"elevator30","12","37","5","2","5268","1502","1","0","2","26"
"elevator30","12","37","5","2","5268","1502","1","0","2","27"
"elevator30","12","37","5","2","5268","1502","1","0","2","22"
"elevator30","12","37","5","2","5268","1502","2","0","2","37"
"elevator30","12","37","5","2","5268","1502","1","0","2","25"
"elevator30","12","37","5","2","5268","1502","1","0","2","27"
"elevator30","12","37","5","2","5268","1502","1","0","2","24"
"elevator30","12","37","5","2","5268","1502","1","0","2","25"
"elevator30","12","37","5","2","5268","1502","1","0","2","26"
"elevator30","12","37","5","2","5268","1502","2","0","2","37"
"elevator30","12","37","5","2","5268","1502","1","0","2","26"
"deports11","50","56","7","3","27589","12612","1","0","3","2597"
"deports11","50","56","7","3","27589","12612","2","0","3","4079"
"deports11","50","56","7","3","27589","12612","1","0","3","1751"
"deports11","50","56","7","3","27589","12612","1","0","3","2136"
"deports11","50","56","7","3","27589","12612","1","0","3","2240"
"deports11","50","56","7","3","27589","12612","2","1","3","4234"
"deports11","50","56","7","3","27589","12612","1","0","3","2048"
"deports11","50","56","7","3","27589","12612","1","0","3","2143"
"deports11","50","56","7","3","27589","12612","1","0","3","1380"
"deports11","50","56","7","3","27589","12612","1","0","3","2280"
"deports11","50","56","7","3","27589","12612","1","0","3","2410"
"deports11","50","56","7","3","27589","12612","1","0","3","2448"
"deports11","50","56","7","3","27589","12612","1","0","3","2374"
"deports11","50","56","7","3","27589","12612","1","0","3","1877"
"deports11","50","56","7","3","27589","12612","1","0","3","1801"
"deports11","50","56","7","3","27589","12612","1","0","3","2289"
"deports11","50","56","7","3","27589","12612","2","1","3","4340"
"deports11","50","56","7","3","27589","12612","1","0","3","1998"
"deports11","50","56","7","3","27589","12612","1","0","3","2132"
"deports11","50","56","7","3","27589","12612","1","0","3","1878"
"deports19","36","44","7","3","19035","8753","1","0","3","586"
"deports19","36","44","7","3","19035","8753","1","0","3","462"
"deports19","36","44","7","3","19035","8753","1","0","3","392"
"deports19","36","44","7","3","19035","8753","1","0","3","378"
"deports19","36","44","7","3","19035","8753","1","0","3","350"
"deports19","36","44","7","3","19035","8753","1","0","3","489"
"deports19","36","44","7","3","19035","8753","1","0","3","473"
"deports19","36","44","7","3","19035","8753","1","0","3","494"
"deports19","36","44","7","3","19035","8753","1","0","3","417"
"deports19","36","44","7","3","19035","8753","1","0","3","530"
"deports19","36","44","7","3","19035","8753","1","0","3","580"
"deports19","36","44","7","3","19035","8753","1","0","3","530"
"deports19","36","44","7","3","19035","8753","1","0","3","512"
"deports19","36","44","7","3","19035","8753","1","0","3","571"
"deports19","36","44","7","3","19035","8753","1","0","3","493"
"deports19","36","44","7","3","19035","8753","1","0","3","505"
"deports19","36","44","7","3","19035","8753","1","0","3","542"
"deports19","36","44","7","3","19035","8753","1","0","3","536"
"deports19","36","44","7","3","19035","8753","1","0","3","492"
"deports19","36","44","7","3","19035","8753","1","0","3","546"
"elevator23","9","24","4","3","2932","802","1","0","3","31"
"elevator23","9","24","4","3","2932","802","2","0","3","37"
"elevator23","9","24","4","3","2932","802","2","1","3","39"
"elevator23","9","24","4","3","2932","802","1","0","3","30"
"elevator23","9","24","4","3","2932","802","2","0","3","34"
"elevator23","9","24","4","3","2932","802","2","1","3","39"
"elevator23","9","24","4","3","2932","802","2","0","3","45"
"elevator23","9","24","4","3","2932","802","2","1","3","43"
"elevator23","9","24","4","3","2932","802","2","0","3","38"
"elevator23","9","24","4","3","2932","802","1","0","3","34"
"elevator23","9","24","4","3","2932","802","2","0","3","38"
"elevator23","9","24","4","3","2932","802","1","0","3","30"
"elevator23","9","24","4","3","2932","802","2","1","3","32"
"elevator23","9","24","4","3","2932","802","1","0","3","28"
"elevator23","9","24","4","3","2932","802","2","1","3","36"
"elevator23","9","24","4","3","2932","802","2","0","3","36"
"elevator23","9","24","4","3","2932","802","1","0","3","31"
"elevator23","9","24","4","3","2932","802","2","1","3","37"
"elevator23","9","24","4","3","2932","802","1","0","3","29"
"elevator23","9","24","4","3","2932","802","2","0","3","38"
"elevator24","11","26","4","3","3641","1074","1","0","3","35"
"elevator24","11","26","4","3","3641","1074","1","0","3","37"
"elevator24","11","26","4","3","3641","1074","1","0","3","37"
"elevator24","11","26","4","3","3641","1074","1","0","3","36"
"elevator24","11","26","4","3","3641","1074","1","0","3","36"
"elevator24","11","26","4","3","3641","1074","1","0","3","36"
"elevator24","11","26","4","3","3641","1074","1","0","3","39"
"elevator24","11","26","4","3","3641","1074","1","0","3","39"
"elevator24","11","26","4","3","3641","1074","1","0","3","41"
"elevator24","11","26","4","3","3641","1074","1","0","3","42"
"elevator24","11","26","4","3","3641","1074","1","0","3","40"
"elevator24","11","26","4","3","3641","1074","1","0","3","40"
"elevator24","11","26","4","3","3641","1074","1","0","3","33"
"elevator24","11","26","4","3","3641","1074","2","0","3","54"
"elevator24","11","26","4","3","3641","1074","1","0","3","41"
"elevator24","11","26","4","3","3641","1074","2","0","3","51"
"elevator24","11","26","4","3","3641","1074","2","0","3","59"
"elevator24","11","26","4","3","3641","1074","1","0","3","47"
"elevator24","11","26","4","3","3641","1074","1","0","3","43"
"elevator24","11","26","4","3","3641","1074","1","0","3","41"
"elevator30","12","37","5","3","5268","1502","1","0","3","153"
"elevator30","12","37","5","3","5268","1502","2","0","3","309"
"elevator30","12","37","5","3","5268","1502","1","0","3","166"
"elevator30","12","37","5","3","5268","1502","1","0","3","193"
"elevator30","12","37","5","3","5268","1502","1","0","3","176"
"elevator30","12","37","5","3","5268","1502","2","0","3","357"
"elevator30","12","37","5","3","5268","1502","1","0","3","179"
"elevator30","12","37","5","3","5268","1502","1","0","3","175"
"elevator30","12","37","5","3","5268","1502","2","0","3","333"
"elevator30","12","37","5","3","5268","1502","1","0","3","205"
"elevator30","12","37","5","3","5268","1502","1","0","3","222"
"elevator30","12","37","5","3","5268","1502","1","0","3","197"
"elevator30","12","37","5","3","5268","1502","2","0","3","379"
"elevator30","12","37","5","3","5268","1502","1","0","3","192"
"elevator30","12","37","5","3","5268","1502","1","0","3","189"
"elevator30","12","37","5","3","5268","1502","1","0","3","202"
"elevator30","12","37","5","3","5268","1502","1","0","3","171"
"elevator30","12","37","5","3","5268","1502","2","0","3","279"
"elevator30","12","37","5","3","5268","1502","2","0","3","313"
"elevator30","12","37","5","3","5268","1502","1","0","3","187"
"deports11","50","56","7","4","27589","12612","1","0","4","132555"
"deports11","50","56","7","4","27589","12612","1","0","4","241271"
"deports11","50","56","7","4","27589","12612","1","0","4","178472"
"deports11","50","56","7","4","27589","12612","1","0","4","211228"
"deports11","50","56","7","4","27589","12612","1","0","4","114281"
"deports11","50","56","7","4","27589","12612","1","0","4","148752"
"deports11","50","56","7","4","27589","12612","1","0","4","176189"
"deports11","50","56","7","4","27589","12612","1","0","4","168293"
"deports11","50","56","7","4","27589","12612","1","0","4","186522"
"deports11","50","56","7","4","27589","12612","1","0","4","267676"
"deports11","50","56","7","4","27589","12612","1","0","4","260029"
"deports11","50","56","7","4","27589","12612","1","0","4","232196"
"deports11","50","56","7","4","27589","12612","1","0","4","249837"
"deports11","50","56","7","4","27589","12612","1","0","4","285772"
"deports11","50","56","7","4","27589","12612","2","0","4","534004"
"deports11","50","56","7","4","27589","12612","1","0","4","319605"
"deports11","50","56","7","4","27589","12612","1","0","4","286950"
"deports11","50","56","7","4","27589","12612","1","0","4","282912"
"deports11","50","56","7","4","27589","12612","2","0","4","614600"
"deports11","50","56","7","4","27589","12612","1","0","4","263839"
"deports19","36","44","7","4","19035","8753","1","0","4","19992"
"deports19","36","44","7","4","19035","8753","1","0","4","21093"
"deports19","36","44","7","4","19035","8753","1","0","4","11618"
"deports19","36","44","7","4","19035","8753","1","0","4","22736"
"deports19","36","44","7","4","19035","8753","1","0","4","26932"
"deports19","36","44","7","4","19035","8753","1","0","4","26904"
"deports19","36","44","7","4","19035","8753","1","0","4","22994"
"deports19","36","44","7","4","19035","8753","1","0","4","28883"
"deports19","36","44","7","4","19035","8753","1","0","4","27740"
"deports19","36","44","7","4","19035","8753","1","0","4","20392"
"deports19","36","44","7","4","19035","8753","1","0","4","32097"
"deports19","36","44","7","4","19035","8753","1","0","4","27676"
"deports19","36","44","7","4","19035","8753","1","0","4","26861"
"deports19","36","44","7","4","19035","8753","1","0","4","31576"
"deports19","36","44","7","4","19035","8753","1","0","4","31254"
"deports19","36","44","7","4","19035","8753","1","0","4","16133"
"deports19","36","44","7","4","19035","8753","1","0","4","23529"
"deports19","36","44","7","4","19035","8753","1","0","4","16223"
"deports19","36","44","7","4","19035","8753","1","0","4","34165"
"deports19","36","44","7","4","19035","8753","1","0","4","27977"
"elevator23","9","24","4","4","2932","802","2","0","4","277"
"elevator23","9","24","4","4","2932","802","1","0","4","173"
"elevator23","9","24","4","4","2932","802","2","0","4","274"
"elevator23","9","24","4","4","2932","802","2","1","4","271"
"elevator23","9","24","4","4","2932","802","1","0","4","175"
"elevator23","9","24","4","4","2932","802","2","1","4","271"
"elevator23","9","24","4","4","2932","802","2","0","4","267"
"elevator23","9","24","4","4","2932","802","2","1","4","288"
"elevator23","9","24","4","4","2932","802","2","1","4","269"
"elevator23","9","24","4","4","2932","802","2","0","4","254"
"elevator23","9","24","4","4","2932","802","1","0","4","186"
"elevator23","9","24","4","4","2932","802","2","0","4","271"
"elevator23","9","24","4","4","2932","802","1","0","4","177"
"elevator23","9","24","4","4","2932","802","2","1","4","314"
"elevator23","9","24","4","4","2932","802","1","0","4","155"
"elevator23","9","24","4","4","2932","802","1","0","4","198"
"elevator23","9","24","4","4","2932","802","2","0","4","221"
"elevator23","9","24","4","4","2932","802","2","1","4","278"
"elevator23","9","24","4","4","2932","802","2","0","4","288"
"elevator23","9","24","4","4","2932","802","2","0","4","259"
"elevator24","11","26","4","4","3641","1074","1","0","4","249"
"elevator24","11","26","4","4","3641","1074","1","0","4","285"
"elevator24","11","26","4","4","3641","1074","1","0","4","338"
"elevator24","11","26","4","4","3641","1074","1","0","4","223"
"elevator24","11","26","4","4","3641","1074","1","0","4","273"
"elevator24","11","26","4","4","3641","1074","1","0","4","276"
"elevator24","11","26","4","4","3641","1074","1","0","4","273"
"elevator24","11","26","4","4","3641","1074","1","0","4","280"
"elevator24","11","26","4","4","3641","1074","1","0","4","355"
"elevator24","11","26","4","4","3641","1074","1","0","4","313"
"elevator24","11","26","4","4","3641","1074","1","0","4","281"
"elevator24","11","26","4","4","3641","1074","1","0","4","333"
"elevator24","11","26","4","4","3641","1074","2","1","4","555"
"elevator24","11","26","4","4","3641","1074","2","1","4","499"
"elevator24","11","26","4","4","3641","1074","2","1","4","478"
"elevator24","11","26","4","4","3641","1074","2","1","4","520"
"elevator24","11","26","4","4","3641","1074","2","1","4","622"
"elevator24","11","26","4","4","3641","1074","2","0","4","586"
"elevator24","11","26","4","4","3641","1074","2","1","4","588"
"elevator24","11","26","4","4","3641","1074","2","1","4","535"
"elevator30","12","37","5","4","5268","1502","2","0","4","9463"
"elevator30","12","37","5","4","5268","1502","1","0","4","5515"
"elevator30","12","37","5","4","5268","1502","1","0","4","5876"
"elevator30","12","37","5","4","5268","1502","2","0","4","11076"
"elevator30","12","37","5","4","5268","1502","1","0","4","5503"
"elevator30","12","37","5","4","5268","1502","2","0","4","10983"
"elevator30","12","37","5","4","5268","1502","1","0","4","5470"
"elevator30","12","37","5","4","5268","1502","1","0","4","5170"
"elevator30","12","37","5","4","5268","1502","2","0","4","10241"
"elevator30","12","37","5","4","5268","1502","1","0","4","6604"
"elevator30","12","37","5","4","5268","1502","2","0","4","9505"
"elevator30","12","37","5","4","5268","1502","1","0","4","6348"
"elevator30","12","37","5","4","5268","1502","1","0","4","5239"
"elevator30","12","37","5","4","5268","1502","2","1","4","11645"
"elevator30","12","37","5","4","5268","1502","1","0","4","5963"
"elevator30","12","37","5","4","5268","1502","1","0","4","4079"
"elevator30","12","37","5","4","5268","1502","1","0","4","4096"
"elevator30","12","37","5","4","5268","1502","1","0","4","4168"
"elevator30","12","37","5","4","5268","1502","1","0","4","4817"
"elevator30","12","37","5","4","5268","1502","1","0","4","4180"
